Genus,Specific_epi,rank,Infra_epi,Syn-Genus,Syn_spc_epi,rank,Syn_infra_epi,Syn-Genus,Syn_spc_epi,rank,Syn_infra_epi,Syn-Genus,Syn_spc_epi,rank,Syn_infra_epi
Azolla,filiculoides,,,,,,,,,,,,,,
Woodwardia,fimbriata,,,,,,,,,,,,,,
Sphaeropteris,cooperi,,,Cyathea,cooperi,,,,,,,,,,
Pteridium,aquilinum,var.,pubescens,,,,,,,,,,,,
Dryopteris,arguta,,,,,,,,,,,,,,
Polystichum,munitum,,,,,,,,,,,,,,
Equisetum,hyemale,ssp.,affine,,,,,,,,,,,,
Equisetum,laevigatum,,,,,,,,,,,,,,
Equisetum,telmateia,ssp.,braunii,,,,,,,,,,,,
Ophioglossum,californicum,,,,,,,,,,,,,,
Polypodium,californicum,,,,,,,,,,,,,,
Polypodium,scouleri,,,,,,,,,,,,,,
Adiantum,aleuticum,,,,,,,,,,,,,,
Adiantum,capillus-veneris,,,,,,,,,,,,,,
Adiantum,jordanii,,,,,,,,,,,,,,
Aspidotis,californica,,,,,,,,,,,,,,
Myriopteris,clevelandii,,,Cheilanthes,clevelandii,,,,,,,,,,
Myriopteris,cooperae,,,Cheilanthes,cooperae,,,,,,,,,,
Myriopteris,newberryi,,,Cheilanthes,newberryi,,,,,,,,,,
Pellaea,andromedifolia,,,,,,,,,,,,,,
Pellaea,mucronata,var.,mucronata,,,,,,,,,,,,
Pentagramma,triangularis,ssp.,triangularis,Pityrogramma,triangularis,ssp.,triangularis,,,,,,,,
Pentagramma,triangularis,ssp.,viscosa,Pityrogramma,triangularis,ssp.,viscosa,,,,,,,,
Selaginella,bigelovii,,,,,,,,,,,,,,
Athyrium,filix-femina,var.,cyclosorum,,,,,,,,,,,,
Cystopteris,fragilis,,,,,,,,,,,,,,
Hesperocyparis,macrocarpa,,,Cupressus,macrocarpa,,,,,,,,,,
Pinus,muricata,var.,muricata,,,,,,,,,,,,
Pinus,pinea,,,,,,,,,,,,,,
Pinus,radiata,,,,,,,,,,,,,,
Pinus,torreyana,ssp.,insularis,,,,,,,,,,,,
Agave,americana,,,,,,,,,,,,,,
Chlorogalum,pomeridianum,,,,,,,,,,,,,,
Allium,lacunosum,var.,lacunosum,,,,,,,,,,,,
Allium,praecox,,,,,,,,,,,,,,
Amaryllis,belladonna,,,,,,,,,,,,,,
Narcissus,tazetta,,,,,,,,,,,,,,
Lemna,minor,,,,,,,,,,,,,,
Zantedeschia,aethiopica,,,,,,,,,,,,,,
Washingtonia,filifera,,,,,,,,,,,,,,
Asparagus,asparagoides,,,,,,,,,,,,,,
Asparagus,officinalis,,,,,,,,,,,,,,
Asphodelus,fistulosus,,,,,,,,,,,,,,
Bolboschoenus,maritimus,ssp.,paludosus,Scirpus,maritimus,var.,paludosus,Scirpus,maritimus,,,Scirpus,paludosus,,
Carex,barbarae,,,,,,,,,,,,,,
Carex,globosa,,,,,,,,,,,,,,
Carex,gracilior,,,,,,,,,,,,,,
Carex,harfordii,,,,,,,,,,,,,,
Carex,pansa,,,,,,,,,,,,,,
Carex,praegracilis,,,,,,,,,,,,,,
Carex,senta,,,,,,,,,,,,,,
Carex,subbracteata,,,,,,,,,,,,,,
Carex,triquetra,,,,,,,,,,,,,,
Carex,tumulicola,,,,,,,,,,,,,,
Cyperus,eragrostis,,,,,,,,,,,,,,
Cyperus,esculentus,,,,,,,,,,,,,,
Cyperus,involucratus,,,,,,,,,,,,,,
Cyperus,odoratus,,,,,,,,,,,,,,
Eleocharis,macrostachya,,,,,,,,,,,,,,
Isolepis,cernua,,,,,,,,,,,,,,
Schoenoplectus,americanus,,,Scirpus,americanus,,,,,,,,,,
Schoenoplectus,californicus,,,Scirpus,californicus,,,,,,,,,,
Schoenoplectus,pungens,var.,longispicatus,Scirpus,americanus,var.,longispicatus,,,,,,,,
Sisyrinchium,bellum,,,,,,,,,,,,,,
Juncus,acutus,ssp.,leopoldii,,,,,,,,,,,,
Juncus,balticus,ssp.,ater,,,,,,,,,,,,
Juncus,bufonius,,,,,,,,,,,,,,
Juncus,effusus,ssp.,pacificus,,,,,,,,,,,,
Juncus,mexicanus,,,,,,,,,,,,,,
Juncus,patens,,,,,,,,,,,,,,
Juncus,phaeocephalus,var.,phaeocephalus,,,,,,,,,,,,
Juncus,textilis,,,,,,,,,,,,,,
Juncus,xiphioides,,,,,,,,,,,,,,
Luzula,subsessilis,,,,,,,,,,,,,,
Calochortus,albus,,,,,,,,,,,,,,
Calochortus,catalinae,,,,,,,,,,,,,,
Calochortus,luteus,,,,,,,,,,,,,,
Calochortus,splendens,,,,,,,,,,,,,,
Lilium,humboldtii,ssp.,ocellatum,,,,,,,,,,,,
Toxicoscordion,fremontii,,,Zigadenus,fremontii,,,,,,,,,,
Epipactis,gigantea,,,,,,,,,,,,,,
Piperia,cooperi,,,,,,,,,,,,,,
Piperia,elongata,,,Habenaria,elegans,var.,elata,,,,,,,,
Piperia,michaelii,,,,,,,,,,,,,,
Piperia,unalascensis,,,Habenaria,unalascensis,,,,,,,,,,
Aegilops,cylindrica,,,,,,,,,,,,,,
Agrostis,exarata,,,,,,,,,,,,,,
Agrostis,pallens,,,,,,,,,,,,,,
Agrostis,stolonifera,,,,,,,,,,,,,,
Ammophila,arenaria,,,,,,,,,,,,,,
Andropogon,glomeratus,var.,scabriglumis,,,,,,,,,,,,
Aristida,adscensionis,,,,,,,,,,,,,,
Aristida,ternipes,var.,gentilis,,,,,,,,,,,,
Arundo,donax,,,,,,,,,,,,,,
Avena,barbata,,,,,,,,,,,,,,
Avena,fatua,,,,,,,,,,,,,,
Avena,sativa,,,,,,,,,,,,,,
Bothriochloa,barbinodis,,,,,,,,,,,,,,
Brachypodium,distachyon,,,,,,,,,,,,,,
Briza,minor,,,,,,,,,,,,,,
Bromus,arizonicus,,,,,,,,,,,,,,
Bromus,berteroanus,,,,,,,,,,,,,,
Bromus,carinatus,var.,carinatus,,,,,,,,,,,,
Bromus,maritimus,,,,,,,,,,,,,,
Bromus,catharticus,,,,,,,,,,,,,,
Bromus,diandrus,,,,,,,,,,,,,,
Bromus,hordeaceus,,,,,,,,,,,,,,
Bromus,laevipes,,,,,,,,,,,,,,
Bromus,madritensis,,,,,,,,,,,,,,
Bromus,vulgaris,,,,,,,,,,,,,,
Calamagrostis,rubescens,,,,,,,,,,,,,,
Chloris,virgata,,,,,,,,,,,,,,
Cortaderia,selloana,,,,,,,,,,,,,,
Crypsis,vaginiflora,,,Crypsis,niliaca,,,,,,,,,,
Crypsis,alopecuroides,,,,,,,,,,,,,,
Cynodon,dactylon,,,,,,,,,,,,,,
Dactylis,glomerata,,,,,,,,,,,,,,
Danthonia,californica,,,,,,,,,,,,,,
Deschampsia,danthonioides,,,,,,,,,,,,,,
Desmazeria,rigida,,,Scleropoa,rigida,,,,,,,,,,
Digitaria,sanguinalis,,,,,,,,,,,,,,
Dissanthelium,californicum,,,,,,,,,,,,,,
Distichlis,spicata,,,,,,,,,,,,,,
Distichlis,littoralis,,,Monanthochloe,littoralis,,,,,,,,,,
Echinochloa,crus-galli,,,,,,,,,,,,,,
Ehrharta,calycina,,,,,,,,,,,,,,
Ehrharta,erecta,,,,,,,,,,,,,,
Elymus,glaucus,ssp.,glaucus,,,,,,,,,,,,
Elymus,repens,,,Elytrigia,repens,,,,,,,,,,
Elymus,condensatus,,,Leymus,condensatus,,,,,,,,,,
Elymus,pacificus,,,,,,,,,,,,,,
Elymus,triticoides,,,Leymus,triticoides,,,,,,,,,,
Festuca,arundinacea,,,Schedonorus,arundinaceus,,,,,,,,,,
Festuca,perennis,,,Lolium,perenne,,,,,,,,,,
Festuca,temulenta,,,Lolium,temulentum,,,,,,,,,,
Festuca,bromoides,,,Vulpia,bromoides,,,,,,,,,,
Festuca,microstachys,,,Vulpia,microstachys,,,,,,,,,,
Festuca,myuros,,,Vulpia,myuros,,,,,,,,,,
Festuca,octoflora,,,Vulpia,octoflora,,,,,,,,,,
Gastridium,phleoides,,,,,,,,,,,,,,
Hainardia,cylindrica,,,,,,,,,,,,,,
Hordeum,brachyantherum,ssp.,californicum,,,,,,,,,,,,
Hordeum,depressum,,,,,,,,,,,,,,
Hordeum,intercedens,,,,,,,,,,,,,,
Hordeum,marinum,ssp.,gussoneanum,,,,,,,,,,,,
Hordeum,murinum,ssp.,glaucum,,,,,,,,,,,,
Hordeum,murinum,ssp.,leporinum,,,,,,,,,,,,
Hordeum,vulgare,,,,,,,,,,,,,,
Koeleria,macrantha,,,,,,,,,,,,,,
Koeleria,gerardii,,,,,,,,,,,,,,
Lamarckia,aurea,,,,,,,,,,,,,,
Melica,imperfecta,,,,,,,,,,,,,,
Muhlenbergia,appressa,,,,,,,,,,,,,,
Muhlenbergia,microsperma,,,,,,,,,,,,,,
Parapholis,incurva,,,,,,,,,,,,,,
Paspalum,dilatatum,,,,,,,,,,,,,,
Paspalum,distichum,,,,,,,,,,,,,,
Pennisetum,clandestinum,,,,,,,,,,,,,,
Pennisetum,setaceum,,,,,,,,,,,,,,
Phalaris,aquatica,,,,,,,,,,,,,,
Phalaris,canariensis,,,,,,,,,,,,,,
Phalaris,caroliniana,,,,,,,,,,,,,,
Phalaris,lemmonii,,,,,,,,,,,,,,
Phalaris,minor,,,,,,,,,,,,,,
Phalaris,paradoxa,,,,,,,,,,,,,,
Poa,annua,,,,,,,,,,,,,,
Poa,palustris,,,,,,,,,,,,,,
Poa,howellii,,,,,,,,,,,,,,
Poa,douglasii,,,,,,,,,,,,,,
Poa,secunda,ssp.,secunda,,,,,,,,,,,,
Polypogon,viridis,,,Agrostis,viridis,,,,,,,,,,
Polypogon,interruptus,,,,,,,,,,,,,,
Polypogon,monspeliensis,,,,,,,,,,,,,,
Schismus,arabicus,,,,,,,,,,,,,,
Schismus,barbatus,,,,,,,,,,,,,,
Stenotaphrum,secundatum,,,,,,,,,,,,,,
Stipa,diegoensis,,,Achnatherum,diegoense,,,,,,,,,,
Stipa,cernua,,,Nassella,cernua,,,,,,,,,,
Stipa,lepida,,,Nassella,lepida,,,,,,,,,,
Stipa,pulchra,,,Nassella,pulchra,,,,,,,,,,
Stipa,miliacea,var.,miliacea,Piptatherum,miliaceum,,,,,,,,,,
Triticum,aestivum,,,,,,,,,,,,,,
Potamogeton,crispus,,,,,,,,,,,,,,
Stuckenia,pectinata,,,Potamogeton,pectinatus,,,,,,,,,,
Ruppia,maritima,,,,,,,,,,,,,,
Bloomeria,crocea,var.,crocea,,,,,,,,,,,,
Brodiaea,jolonensis,,,,,,,,,,,,,,
Brodiaea,kinkiensis,,,,,,,,,,,,,,
Dichelostemma,capitatum,ssp.,capitatum,,,,,,,,,,,,
Triteleia,clementina,,,,,,,,,,,,,,
Triteleia,hyacinthina,,,,,,,,,,,,,,
Typha,angustifolia,,,,,,,,,,,,,,
Typha,domingensis,,,,,,,,,,,,,,
Typha,latifolia,,,,,,,,,,,,,,
Zannichellia,palustris,,,,,,,,,,,,,,
Phyllospadix,scouleri,,,,,,,,,,,,,,
Phyllospadix,torreyi,,,,,,,,,,,,,,
Zostera,marina,,,,,,,,,,,,,,
Zostera,pacifica,,,,,,,,,,,,,,
Anemopsis,californica,,,,,,,,,,,,,,
Sambucus,nigra,ssp.,caerulea,Sambucus,mexicana,,,,,,,,,,
Carpobrotus,chilensis,,,,,,,,,,,,,,
Carpobrotus,edulis,,,,,,,,,,,,,,
Delosperma,litorale,,,,,,,,,,,,,,
Malephora,crocea,,,,,,,,,,,,,,
Mesembryanthemum,crystallinum,,,,,,,,,,,,,,
Mesembryanthemum,nodiflorum,,,,,,,,,,,,,,
Sesuvium,verrucosum,,,,,,,,,,,,,,
