Azolla filiculoides
Woodwardia fimbriata
Sphaeropteris cooperi,Cyathea cooperi
Pteridium aquilinum var. pubescens,Pteridium aquilinum ssp. pubescens,Pteridium aquilinum subsp. pubescens
Dryopteris arguta
Polystichum munitum
Equisetum hyemale ssp. affine,Equisetum hyemale subsp. affine,Equisetum hyemale var. affine
Equisetum laevigatum
Equisetum telmateia ssp. braunii,Equisetum telmateia subsp. braunii,Equisetum telmateia var. braunii
Ophioglossum californicum
Polypodium californicum
Polypodium scouleri
Adiantum aleuticum
Adiantum capillus-veneris
Adiantum jordanii
Aspidotis californica
Myriopteris clevelandii,Cheilanthes clevelandii
Myriopteris cooperae,Cheilanthes cooperae
Myriopteris newberryi,Cheilanthes newberryi
Pellaea andromedifolia
Pellaea mucronata var. mucronata,Pellaea mucronata ssp. mucronata,Pellaea mucronata subsp. mucronata
Pentagramma triangularis ssp. triangularis,Pentagramma triangularis subsp. triangularis,Pentagramma triangularis var. triangularis,Pityrogramma triangularis ssp. triangularis,Pityrogramma triangularis subsp. triangularis,Pityrogramma triangularis var. triangularis
Pentagramma triangularis ssp. viscosa,Pentagramma triangularis subsp. viscosa,Pentagramma triangularis var. viscosa,Pityrogramma triangularis ssp. viscosa,Pityrogramma triangularis subsp. viscosa,Pityrogramma triangularis var. viscosa
Selaginella bigelovii
Athyrium filix-femina var. cyclosorum,Athyrium filix-femina ssp. cyclosorum,Athyrium filix-femina subsp. cyclosorum
Cystopteris fragilis
Hesperocyparis macrocarpa,Cupressus macrocarpa
Pinus muricata var. muricata,Pinus muricata ssp. muricata,Pinus muricata subsp. muricata
Pinus pinea
Pinus radiata
Pinus torreyana ssp. insularis,Pinus torreyana subsp. insularis,Pinus torreyana var. insularis
Agave americana
Chlorogalum pomeridianum
Allium lacunosum var. lacunosum,Allium lacunosum ssp. lacunosum,Allium lacunosum subsp. lacunosum
Allium praecox
Amaryllis belladonna
Narcissus tazetta
Lemna minor
Zantedeschia aethiopica
Washingtonia filifera
Asparagus asparagoides
Asparagus officinalis
Asphodelus fistulosus
Bolboschoenus maritimus ssp. paludosus,Bolboschoenus maritimus subsp. paludosus,Bolboschoenus maritimus var. paludosus,Scirpus maritimus var. paludosus,Scirpus maritimus ssp. paludosus,Scirpus maritimus subsp. paludosus,Scirpus maritimus,Scirpus paludosus
Carex barbarae
Carex globosa
Carex gracilior
Carex harfordii
Carex pansa
Carex praegracilis
Carex senta
Carex subbracteata
Carex triquetra
Carex tumulicola
Cyperus eragrostis
Cyperus esculentus
Cyperus involucratus
Cyperus odoratus
Eleocharis macrostachya
Isolepis cernua
Schoenoplectus americanus,Scirpus americanus
Schoenoplectus californicus,Scirpus californicus
Schoenoplectus pungens var. longispicatus,Schoenoplectus pungens ssp. longispicatus,Schoenoplectus pungens subsp. longispicatus,Scirpus americanus var. longispicatus,Scirpus americanus ssp. longispicatus,Scirpus americanus subsp. longispicatus
Sisyrinchium bellum
Juncus acutus ssp. leopoldii,Juncus acutus subsp. leopoldii,Juncus acutus var. leopoldii
Juncus balticus ssp. ater,Juncus balticus subsp. ater,Juncus balticus var. ater
Juncus bufonius
Juncus effusus ssp. pacificus,Juncus effusus subsp. pacificus,Juncus effusus var. pacificus
Juncus mexicanus
Juncus patens
Juncus phaeocephalus var. phaeocephalus,Juncus phaeocephalus ssp. phaeocephalus,Juncus phaeocephalus subsp. phaeocephalus
Juncus textilis
Juncus xiphioides
Luzula subsessilis
Calochortus albus
Calochortus catalinae
Calochortus luteus
Calochortus splendens
Lilium humboldtii ssp. ocellatum,Lilium humboldtii subsp. ocellatum,Lilium humboldtii var. ocellatum
Toxicoscordion fremontii,Zigadenus fremontii
Epipactis gigantea
Piperia cooperi
Piperia elongata,Habenaria elegans var. elata,Habenaria elegans ssp. elata,Habenaria elegans subsp. elata
Piperia michaelii
Piperia unalascensis,Habenaria unalascensis
Aegilops cylindrica
Agrostis exarata
Agrostis pallens
Agrostis stolonifera
Ammophila arenaria
Andropogon glomeratus var. scabriglumis,Andropogon glomeratus ssp. scabriglumis,Andropogon glomeratus subsp. scabriglumis
Aristida adscensionis
Aristida ternipes var. gentilis,Aristida ternipes ssp. gentilis,Aristida ternipes subsp. gentilis
Arundo donax
Avena barbata
Avena fatua
Avena sativa
Bothriochloa barbinodis
Brachypodium distachyon
Briza minor
Bromus arizonicus
Bromus berteroanus
Bromus carinatus var. carinatus,Bromus carinatus ssp. carinatus,Bromus carinatus subsp. carinatus
Bromus maritimus
Bromus catharticus
Bromus diandrus
Bromus hordeaceus
Bromus laevipes
Bromus madritensis
Bromus vulgaris
Calamagrostis rubescens
Chloris virgata
Cortaderia selloana
Crypsis vaginiflora,Crypsis niliaca
Crypsis alopecuroides
Cynodon dactylon
Dactylis glomerata
Danthonia californica
Deschampsia danthonioides
Desmazeria rigida,Scleropoa rigida
Digitaria sanguinalis
Dissanthelium californicum
Distichlis spicata
Distichlis littoralis,Monanthochloe littoralis
Echinochloa crus-galli
Ehrharta calycina
Ehrharta erecta
Elymus glaucus ssp. glaucus,Elymus glaucus subsp. glaucus,Elymus glaucus var. glaucus
Elymus repens,Elytrigia repens
Elymus condensatus,Leymus condensatus
Elymus pacificus
Elymus triticoides,Leymus triticoides
Festuca arundinacea,Schedonorus arundinaceus
Festuca perennis,Lolium perenne
Festuca temulenta,Lolium temulentum
Festuca bromoides,Vulpia bromoides
Festuca microstachys,Vulpia microstachys
Festuca myuros,Vulpia myuros
Festuca octoflora,Vulpia octoflora
Gastridium phleoides
Hainardia cylindrica
Hordeum brachyantherum ssp. californicum,Hordeum brachyantherum subsp. californicum,Hordeum brachyantherum var. californicum
Hordeum depressum
Hordeum intercedens
Hordeum marinum ssp. gussoneanum,Hordeum marinum subsp. gussoneanum,Hordeum marinum var. gussoneanum
Hordeum murinum ssp. glaucum,Hordeum murinum subsp. glaucum,Hordeum murinum var. glaucum
Hordeum murinum ssp. leporinum,Hordeum murinum subsp. leporinum,Hordeum murinum var. leporinum
Hordeum vulgare
Koeleria macrantha
Koeleria gerardii
Lamarckia aurea
Melica imperfecta
Muhlenbergia appressa
Muhlenbergia microsperma
Parapholis incurva
Paspalum dilatatum
Paspalum distichum
Pennisetum clandestinum
Pennisetum setaceum
Phalaris aquatica
Phalaris canariensis
Phalaris caroliniana
Phalaris lemmonii
Phalaris minor
Phalaris paradoxa
Poa annua
Poa palustris
Poa howellii
Poa douglasii
Poa secunda ssp. secunda,Poa secunda subsp. secunda,Poa secunda var. secunda
Polypogon viridis,Agrostis viridis
Polypogon interruptus
Polypogon monspeliensis
Schismus arabicus
Schismus barbatus
Stenotaphrum secundatum
Stipa diegoensis,Achnatherum diegoense
Stipa cernua,Nassella cernua
Stipa lepida,Nassella lepida
Stipa pulchra,Nassella pulchra
Stipa miliacea var. miliacea,Stipa miliacea ssp. miliacea,Stipa miliacea subsp. miliacea,Piptatherum miliaceum
Triticum aestivum
Potamogeton crispus
Stuckenia pectinata,Potamogeton pectinatus
Ruppia maritima
Bloomeria crocea var. crocea,Bloomeria crocea ssp. crocea,Bloomeria crocea subsp. crocea
Brodiaea jolonensis
Brodiaea kinkiensis
Dichelostemma capitatum ssp. capitatum,Dichelostemma capitatum subsp. capitatum,Dichelostemma capitatum var. capitatum
Triteleia clementina
Triteleia hyacinthina
Typha angustifolia
Typha domingensis
Typha latifolia
Zannichellia palustris
Phyllospadix scouleri
Phyllospadix torreyi
Zostera marina
Zostera pacifica
