taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB
Azolla_filiculoides,DQ066495.1,KJ747538.1,,,KM360662.1,EF520889.1,AY612717.1,EF520876.1
Woodwardia_fimbriata,,,,,AB040597.1,,,
Sphaeropteris_cooperi,L41595.1,,,,JN106038.1,JF742607.1,,
Dryopteris_arguta,,JQ941647.1,,,JQ947924.1,AY278397.1,,
Polystichum_munitum,,JQ941636.1,,,U05938.1,EF177315.1,,EF463438.1
Equisetum_hyemale_ssp_affine,EU328339.1,,,,AY226128.1,AY226110.1,,
Equisetum_laevigatum,EU328341.1,,,,AY226130.1,AY226112.1,,KC893872.1
Equisetum_telmateia_ssp_braunii,,,,,AY226135.1,AY226119.1,,
Polypodium_californicum,,KF909014.1,,,KF909040.1,AF159189.1,,
Polypodium_scouleri,,KF909029.1,,,U21150.1,FJ825678.1,,
Adiantum_aleuticum,,,,,JN052804.1,JN052908.1,,JN052875.1
Adiantum_capillus-veneris,L41579.1,,,,LC004119.1,DQ432689.1,,JF935427.1
Adiantum_jordanii,,,,,JF935348.1,JF980693.1,,JF935430.1
Aspidotis_californica,,JX313624.1,,,AF336101.1,DQ914213.1,,
Myriopteris_clevelandii,,,,,KF961777.1,,,
Myriopteris_cooperae,,,,,KF961778.1,,,
Myriopteris_newberryi,,,,,EU268787.1,EU831188.1,,
Pellaea_andromedifolia,,,,,U19501.1,DQ914174.1,,
Pellaea_mucronata_var_mucronata,,,,,,DQ914191.1,,
Selaginella_bigelovii,AF419004.1,,,,AF419082.1,,,
Cystopteris_fragilis,,JX873986.1,,,U05916.1,HQ676522.1,HQ157250.1,JF832160.1
Hesperocyparis_macrocarpa,AY380868.1,HM024005.1,,,HM024284.1,AY988204.1,AF051797.1,
Pinus_pinea,X87935.1,AB084496.1,,,X58133.1,AB099806.1,,
Pinus_radiata,,AB080934.1,,,X58134.1,AB081132.1,,
Pinus_torreyana_ssp_insularis,,,,,KC156787.1,,,
Agave_americana,U23997.1,JX903544.1,,JX903310.1,JX903133.1,,HM991824.1,JX903729.1
Chlorogalum_pomeridianum,KP008332.1,JX903545.1,,AY225049.1,Z69228.1,JX090503.1,,AJ417569.1
Allium_praecox,KC119685.1,,,,,KC139027.2,,
Amaryllis_belladonna,JX464257.1,JX903555.1,,JQ276782.1,JQ273899.1,JX464334.1,JQ283909.1,JQ273604.1
Narcissus_tazetta,,HM011047.1,,JX903351.1,HM640487.1,JF973252.1,HM640717.1,JX903768.1
Lemna_minor,KJ400889.1,AM920552.1,,,AY034234.1,AF521873.1,S67398.1,
Zantedeschia_aethiopica,,AB040178.1,,,AF065474.1,,,
Washingtonia_filifera,,HQ720328.1,,AY044527.1,AY012465.1,,AY012351.1,AY012408.1
Asparagus_asparagoides,KJ868770.1,JQ276400.1,,JQ276787.1,JQ273905.1,,JQ283899.1,JQ273610.1
Asparagus_officinalis,HM990118.1,AB646504.1,AF197736.1,JQ276786.1,HQ182417.1,,JQ283900.1,JQ273609.1
Asphodelus_fistulosus,,,,,,AB933514.1,,
Bolboschoenus_maritimus_ssp_paludosus,JF313179.1,HM850837.1,,FM160515.1,Y12996.1,JF313191.1,,
Carex_barbarae,GQ223579.1,,,,,,,
Carex_globosa,AY325487.1,,,,,,,
Carex_gracilior,AY779102.1,,,,,,,
Carex_harfordii,AY779104.1,,,,,,,
Carex_pansa,EU001043.1,,,,,,,
Carex_praegracilis,EU001049.1,,,,,,,
Carex_senta,GQ223636.1,,,,,,,
Carex_subbracteata,AY779165.1,,,,,,,
Carex_tumulicola,EU001074.1,,,,,,,
Cyperus_eragrostis,KF150551.1,HM850853.1,,FM160531.1,HM849936.1,,,
Cyperus_esculentus,KF193572.1,HM850854.1,,,HM849937.1,,,
Cyperus_involucratus,AY242052.1,GU135106.1,,,Y12967.1,JX644796.1,,
Cyperus_odoratus,KF150569.1,KJ772706.1,,AB261633.1,AB369949.1,,,
Eleocharis_macrostachya,GU977087.1,,,,,,,
Isolepis_cernua,DQ385576.1,JN895309.1,,AM999934.1,Y13014.1,AF285070.1,,
Schoenoplectus_americanus,KC677959.1,,,KC678043.1,U49234.1,AF285065.1,,
Schoenoplectus_californicus,AF190620.1,,,KC678038.1,,KC678011.1,,
Schoenoplectus_pungens_var_longispicatus,KC677962.1,,,KC678046.1,,KC678018.1,,
Sisyrinchium_bellum,HQ414476.1,JN565636.1,,,,,,
Juncus_balticus_ssp_ater,AY727805.1,,,,,,,
Juncus_bufonius,AY727789.1,JN894885.1,,,HM850085.1,AY437965.1,,
Juncus_mexicanus,,,,,,DQ099463.1,,
Juncus_xiphioides,,,,,AY216624.1,AY437959.1,,
Luzula_subsessilis,FJ213889.1,,,,,,,
Calochortus_albus,,,,AF275994.1,AF275983.1,AY430631.1,AF069204.1,
Calochortus_catalinae,,KM085676.1,,KM085803.1,KM085546.1,AY430677.1,,KM085928.1
Calochortus_luteus,,KM085684.1,,KM085807.1,AF275986.1,AY430679.1,,KM085935.1
Calochortus_splendens,,KM085692.1,,KM085814.1,KM085562.1,AY430684.1,,KM085943.1
Lilium_humboldtii_ssp_ocellatum,AF090956.1,AB049512.1,,,LM993026.1,,,
Toxicoscordion_fremontii,AF303721.1,KM242798.1,,KM242877.1,KM242959.1,AF303688.1,,KM242726.1
Aegilops_cylindrica,AF156993.1,EU013064.1,,,LN626627.1,EU013534.1,,
Agrostis_exarata,DQ146769.1,DQ146800.1,,,,,,
Agrostis_pallens,DQ146775.1,DQ146806.1,,,,,,
Agrostis_stolonifera,KM999958.1,FJ231114.1,,KJ529438.1,AJ746280.1,DQ336835.1,,JF935373.1
Ammophila_arenaria,EF195130.1,AM234561.1,,JX438118.1,JX572302.1,DQ631456.1,Z94153.1,
Aristida_adscensionis,HM347037.1,HE573938.1,,HE573459.1,AM849349.1,DQ172200.1,,EF422970.1
Aristida_ternipes_var_gentilis,DQ172057.1,,,,,DQ172280.1,,
Arundo_donax,KJ880068.1,HG793998.1,,GU222718.1,U13226.1,DQ172302.1,,
Avena_barbata,AY881169.1,GU367267.1,,KJ529441.1,KF995925.1,KF996106.1,,
Avena_fatua,KF713179.1,GU367282.1,,KM538730.1,AJ746257.1,GU367224.1,,
Avena_sativa,EU833802.1,GU367304.1,,DQ786814.1,L15300.1,GU367246.1,M82712.1,DQ780960.1
Bothriochloa_barbinodis,DQ005022.1,,,,,,,
Brachypodium_distachyon,JX665594.1,XM_014902336.1,,JN187641.1,LN626640.1,JQ972963.1,,
Briza_minor,KJ598892.1,DQ786892.1,,DQ786820.1,KJ773320.1,EU395903.1,,DQ780966.1
Bromus_berteroanus,AY367946.1,,,,,,,
Bromus_catharticus,FJ461259.1,FN908049.1,,HE575737.1,FJ898515.1,DQ887428.1,,
Bromus_diandrus,KF713205.1,KF713103.1,,KM538736.1,KF712968.1,AB732924.1,,
Bromus_hordeaceus,KM077298.1,HE573929.1,,AM849134.1,FJ898514.1,AB732925.1,,
Bromus_laevipes,AY367917.1,,,,,EU036185.1,,
Bromus_madritensis,EU036205.1,HM850583.1,,,HM849827.1,EU036170.1,,
Calamagrostis_rubescens,FJ377652.1,,,,,,,
Chloris_virgata,GU359324.1,HE586081.1,,HE575772.1,EF125096.1,EF137560.1,,
Cortaderia_selloana,AF367607.1,HF558497.1,,HF558463.1,DQ005609.1,EU401176.1,,
Crypsis_vaginiflora,EF153034.1,,,,,EF156683.1,,
Crypsis_alopecuroides,KM010320.1,,,,,,,
Cynodon_dactylon,KP873313.1,AF144584.1,,AM849142.1,AM849393.1,EF156685.1,,
Dactylis_glomerata,KJ598940.1,KF713137.1,,DQ786830.1,JX848494.1,EF137600.1,,DQ780976.1
Danthonia_californica,DQ887160.1,HE573983.1,,GU222712.1,EF423004.1,EU401185.1,,EF422972.1
Deschampsia_danthonioides,AM041229.1,,,,,,,
Desmazeria_rigida,KJ598938.1,AM234586.1,,JX438141.1,EF125150.1,AF533034.1,,
Digitaria_sanguinalis,AM404347.1,AF164421.1,,AM849147.1,HM849953.1,AY116268.1,,
Dissanthelium_californicum,JF904826.1,,,,,,,
Distichlis_spicata,GU359346.1,HE573968.1,,GU222709.1,AY632363.1,EF196919.1,,
Distichlis_littoralis,GU359157.1,AF312349.1,,EF561674.1,JN681664.1,EF156714.1,,
Echinochloa_crus-galli,KF010208.1,KR058327.1,,AM849149.1,KR058324.1,KF163587.1,,
Ehrharta_calycina,AF430314.1,EU434288.1,,GU222719.1,HE573380.1,EF137576.1,,
Ehrharta_erecta,AF430308.1,LN906691.1,,AM887887.1,LN907926.1,AF430334.1,,
Elymus_repens,JN009831.1,HF558527.1,,KM538747.1,KF713006.1,DQ912407.1,,
Elymus_condensatus,EF661982.1,,,,,,,
Elymus_triticoides,JQ359818.1,,,AF267694.1,GU140016.1,EU366404.1,,
Festuca_arundinacea,KJ598991.1,JX438093.1,,DQ786868.1,KF713018.1,EF378959.1,,DQ781014.1
Festuca_perennis,KJ598999.1,EU434291.1,,DQ786853.1,KM360863.1,EU434099.1,AY519271.1,DQ780999.1
Festuca_temulenta,KJ598964.1,HM453063.1,,KM538758.1,KM538824.1,EF378988.1,,
Festuca_bromoides,KJ598933.1,LN906796.1,,LN908194.1,LN908031.1,AF487616.1,,
Festuca_microstachys,KF917217.1,DQ786948.1,,DQ786876.1,,EF593015.1,,DQ781022.1
Festuca_myuros,KJ598937.1,FN908075.1,,HE575749.1,FN870411.1,AF478526.1,,
Festuca_octoflora,KF917279.1,KJ773237.1,,KJ529501.1,KJ773986.1,EF593016.1,,
Hainardia_cylindrica,KJ598947.1,HE646577.1,,HE575742.1,EF125153.1,AF533035.1,,
Hordeum_brachyantherum_ssp_californicum,AJ607850.1,KM040722.1,,DQ247887.1,AY836169.1,FN568316.1,,
Hordeum_depressum,AJ607895.1,HF558507.1,,HF558473.1,AB078368.1,AJ969318.1,,
Hordeum_intercedens,AJ607929.1,KM040699.1,,HQ619413.1,AY137450.1,AJ969367.1,,
Hordeum_marinum_ssp_gussoneanum,KP126670.1,KM040725.1,,DQ247889.1,AY836171.1,AB732935.1,,
Hordeum_murinum_ssp_glaucum,KM217266.1,AB078120.1,,DQ247890.1,AY836172.1,AB078467.1,KT429578.1,
Hordeum_murinum_ssp_leporinum,KM217268.1,AB078122.1,,,AB078391.1,AB078469.1,KT429577.1,
Hordeum_vulgare,KM217265.1,KM040747.1,,U22003.1,LN626641.1,AB732939.1,M82670.1,AM110187.1
Koeleria_macrantha,DQ336826.1,LN554439.1,,KM538756.1,JX848501.1,DQ336846.1,,
Lamarckia_aurea,KJ598943.1,JX438085.1,,JX438140.1,AJ784834.1,AF533029.1,,
Melica_imperfecta,L36519.1,,,KJ913016.1,,,,
Muhlenbergia_appressa,GU359164.1,,,GU359618.1,,,,
Muhlenbergia_microsperma,HM143092.1,,,HM143487.1,,GQ397943.1,,
Parapholis_incurva,KJ598945.1,AM234583.1,,DQ786859.1,EF125154.1,AF533036.1,,DQ781005.1
Paspalum_dilatatum,KF163842.1,HE574118.1,,AM849178.1,AM849371.1,EF137583.1,,
Paspalum_distichum,KF163848.1,FN908063.1,,HE575755.1,FN870399.1,EU871100.1,,
Pennisetum_clandestinum,,FN908064.1,,FR839625.1,FN870400.1,EU939988.1,,
Pennisetum_setaceum,GQ478102.1,HE574125.1,,HE573510.1,HE573427.1,EU940000.1,,
Phalaris_aquatica,JF951056.1,,,,,KC698996.1,,
Phalaris_canariensis,FJ178782.1,JX438068.1,,JX438117.1,KF997405.1,KC698994.1,,
Phalaris_caroliniana,JF951080.1,,,,,,,
Phalaris_lemmonii,JF951082.1,,,,,,,
Phalaris_minor,JF951069.1,KM487284.1,,KJ529437.1,KF997414.1,KC698997.1,,
Phalaris_paradoxa,JF951071.1,KM487283.1,,,HM850251.1,KC698999.1,,
Poa_annua,KJ599003.1,FN908068.1,,HE575747.1,FN870404.1,,,
Poa_palustris,EU792396.1,FN668472.1,,AY589118.1,KC483562.1,AY504654.1,,
Poa_howellii,JF904846.1,,,,,,,
Poa_secunda_ssp_secunda,EU792393.1,,,,,,,
Polypogon_viridis,DQ146796.1,DQ146824.1,,,HM850276.1,,,
Polypogon_monspeliensis,DQ146795.1,DQ146822.1,,DQ786865.1,KM360939.1,,,DQ781011.1
Schismus_arabicus,,,,GQ471662.1,EU400947.1,EU401259.1,,
Schismus_barbatus,AF019873.1,HE574432.1,,HE573550.1,HE573320.1,DQ218168.1,,
Stenotaphrum_secundatum,AF521902.1,KC123431.1,,AY029684.1,AM235074.1,EU939985.1,,
Stipa_diegoensis,JF697692.1,JF697796.1,,JF697852.1,,GU192017.1,,
Stipa_lepida,,FN434300.1,,,,,,
Stipa_pulchra,KC129484.1,,,GU222741.1,,,,
Stipa_miliacea_var_miliacea,JF769090.1,LN554445.1,,AY622317.1,FN870403.1,EU200913.1,,
Triticum_aestivum,KF482105.1,AF164405.1,X57965.1,DQ247921.1,LN626618.2,AF148757.1,,
Potamogeton_crispus,GU814243.1,JN894781.1,,,U80722.1,DQ786426.1,,AB250119.1
Stuckenia_pectinata,EF526376.1,JN894668.1,,,AB196953.1,DQ786420.1,,AB250128.1
Ruppia_maritima,AB728752.1,JN893851.1,,HQ901550.1,U03729.1,JQ034343.1,JN034103.1,HQ901526.1
Brodiaea_jolonensis,,FR832733.1,,AF508359.1,AF116993.1,AF508470.1,,
Dichelostemma_capitatum_ssp_capitatum,EU096190.1,,,AF508365.1,,AF508476.1,,
Triteleia_hyacinthina,,JQ276429.1,,JQ276816.1,JQ273934.1,AF508494.1,JQ283898.1,JQ273639.1
Typha_angustifolia,KF265388.1,AY952419.1,,U79230.2,AM110250.1,JF319462.1,AY952385.1,
Typha_domingensis,KF265389.1,HM850522.1,,,KJ773961.1,JF319472.1,,
Typha_latifolia,KF265390.1,AB088801.1,,,DQ069503.1,JF319484.1,AF168880.1,AF168951.1
Zannichellia_palustris,EF526374.1,AB818879.1,,HQ901547.1,U03725.1,DQ786418.1,AF168883.1,HQ901522.1
Phyllospadix_scouleri,,KF632812.1,,,DQ859172.1,,,
Phyllospadix_torreyi,AY077985.1,EF198333.1,,,U80731.1,,,
Zostera_marina,KM609954.1,JN034097.1,,,U03724.1,,HQ445940.1,
Zostera_pacifica,EF198348.1,EF198340.1,,,,,,
Anemopsis_californica,AF215920.3,DQ882198.2,AF197747.1,,AF197597.1,AF332965.1,AF197576.1,AF197608.1
