Azolla filiculoides,84609
Woodwardia fimbriata,29604
Sphaeropteris cooperi,49500
Pteridium aquilinum var. pubescens,104589
Dryopteris arguta,242175
Polystichum munitum,3279
Equisetum hyemale ssp. affine,232202
Equisetum laevigatum,223814
Equisetum telmateia ssp. braunii,232204
Ophioglossum californicum,1267209
Polypodium californicum,104286
Polypodium scouleri,38393
Adiantum aleuticum,412743
Adiantum capillus-veneris,13818
Adiantum jordanii,1073788
Aspidotis californica,164272
Myriopteris clevelandii,1518996
Myriopteris cooperae,1518997
Myriopteris newberryi,500416
Pellaea andromedifolia,37462
Pellaea mucronata var. mucronata,414657
Pentagramma triangularis ssp. triangularis,not found
Pentagramma triangularis ssp. viscosa,not found
Selaginella bigelovii,189548
Athyrium filix-femina var. cyclosorum,not found
Cystopteris fragilis,32112
Hesperocyparis macrocarpa,76352
Pinus muricata var. muricata,not found
Pinus pinea,3346
Pinus radiata,3347
Pinus torreyana ssp. insularis,638955
Agave americana,39510
Chlorogalum pomeridianum,50240
Allium lacunosum var. lacunosum,not found
Allium praecox,472425
Amaryllis belladonna,51432
Narcissus tazetta,54860
Lemna minor,4472
Zantedeschia aethiopica,69721
Washingtonia filifera,145714
Asparagus asparagoides,59054
Asparagus officinalis,4686
Asphodelus fistulosus,1497607
Bolboschoenus maritimus ssp. paludosus,76417
Carex barbarae,657467
Carex globosa,247942
Carex gracilior,314422
Carex harfordii,314423
Carex pansa,433002
Carex praegracilis,314455
Carex senta,657488
Carex subbracteata,314473
Carex triquetra,912521
Carex tumulicola,433015
Cyperus eragrostis,529430
Cyperus esculentus,1053340
Cyperus involucratus,76430
Cyperus odoratus,388568
Eleocharis macrostachya,753700
Isolepis cernua,76455
Schoenoplectus americanus,46335
Schoenoplectus californicus,110309
Schoenoplectus pungens var. longispicatus,1442358
Sisyrinchium bellum,915439
Juncus acutus ssp. leopoldii,not found
Juncus balticus ssp. ater,308395
Juncus bufonius,223656
Juncus effusus ssp. pacificus,not found
Juncus mexicanus,336228
Juncus patens,not found
Juncus phaeocephalus var. phaeocephalus,not found
