taxon,18S,atpB,ndhF,trnL-trnF,
Abies_bracteata,AB026932.1,,,JN935655.1,
Abies_lasiocarpa,X79407.1,AY664825.1,,JN935664.1,
Abies_amabilis,,,,JN935656.1,
Abies_concolor,,,,JN935707.1,
Abies_grandis,,,,JN935661.1,
Abies_magnifica,,,,JN935665.1,
Abies_procera,,,,,
Abronia_alpina,,,,,
Abronia_latifolia,,,,,
Abronia_maritima,,,,,
Abronia_nana,,,,,
Abronia_pogonantha,,,,,
Abronia_turbinata,,,,,
Abronia_umbellata,,,,,
Abronia_villosa,,,,,
Tripterocalyx_crux-maltae,,,,,
Tripterocalyx_micranthus,,,,,
Abutilon_palmeri,,,,,
Abutilon_parvulum,,,,,
Acaena_pinnatifida,,,,AY634714.1,
Acalypha_californica,AY674572.1,AY788199.1,AY425027.1,AY794776.1,
Acanthomintha_duttonii,,,,JQ669020.1,
Acanthomintha_ilicifolia,,,,GU381575.1,
Acanthomintha_lanceolata,,,,DQ667522.1,
Acanthomintha_obovata,,,,GU381573.1,
Acer_circinatum,,,HM352669.1,HM352692.1,
Acer_glabrum,,,,AF401181.1,
Acer_macrophyllum,,,,AF401160.1,
Acer_negundo,,,AF130227.1,AF401188.1,
Achillea_millefolium,,,EU385124.1,AY603286.1,
Achlys_californica,,,,,
Achlys_triphylla,,,AY145158.1,,
Achyrachaena_mollis,,,,,
Achyronychia_cooperi,,,,JN589680.1,
Acleisanthes_longiflora,,,,,
Acleisanthes_nevadensis,,,,,
Acmispon_americanus,,,,,
Acmispon_argophyllus,,,,,
Acmispon_argyraeus,,,,,
Acmispon_brachycarpus,,,,,
Acmispon_cytisoides,,,,,
Acmispon_dendroideus,,,,,
Acmispon_denticulatus,,,,,
Acmispon_glaber,,,,,
Acmispon_grandiflorus,,,,,
Acmispon_haydonii,,,,,
Acmispon_heermannii,,,,,
Acmispon_junceus,,,,,
Acmispon_maritimus,,,,,
Acmispon_micranthus,,,,,
Acmispon_nevadensis,,,,,
Acmispon_parviflorus,,,,,
Acmispon_procumbens,,,,,
Acmispon_prostratus,,,,,
Acmispon_rigidus,,,,,
Acmispon_rubriflorus,,,,,
Acmispon_strigosus,,,,,
Acmispon_wrangelianus,,,,,
Aconitum_columbianum,,,,,
Aconogonon_davisiae,,,,,
Aconogonon_newberryi,,,,,
Aconogonon_phytolaccifolium,,,,,
Acourtia_microcephala,,,L39408.1,,
Actaea_rubra,,,,,
Adenocaulon_bicolor,,,EU385129.1,EU385035.1,
Adenophyllum_cooperi,,,AF405274.1,,
Adenophyllum_porophylloides,,,,,
Adenostoma_fasciculatum,DQ886363.1,,,AF348535.1,
Adenostoma_sparsifolium,,,,,
Adiantum_aleuticum,,JN052875.1,,JN052908.1,
Adiantum_capillus-veneris,,JF935427.1,,DQ432689.1,
Adiantum_jordanii,,JF935430.1,,JF980693.1,
Adolphia_californica,,,,,
Aesculus_californica,,,,,
Agastache_parvifolia,,,,,
Agastache_urticifolia,,,,AY570452.1,
Agave_deserti,,,,DQ500928.1,
Agave_shawii,,,,,
Agave_utahensis,,,,,
Ageratina_herbacea,,,,,
Ageratina_occidentalis,,,,,
Ageratina_shastensis,,,,,
Agoseris_apargioides,,,,,
Agoseris_aurantiaca,,,,,
Agoseris_glauca,,,,,
Agoseris_grandiflora,,,,,
Agoseris_heterophylla,,,,,
Agoseris_hirsuta,,,,,
Agoseris_monticola,,,,,
Agoseris_parviflora,,,,,
Agoseris_retrorsa,,,,AF118906.1,
Agrimonia_gryposepala,,,,,
Agrimonia_striata,,,,,
Agrostis_blasdalei,,,,,
Agrostis_densiflora,,,,,
Agrostis_elliottiana,,,,,
Agrostis_exarata,,,,,
Agrostis_hallii,,,,,
Agrostis_hendersonii,,,,,
Agrostis_hooveri,,,,,
Agrostis_humilis,,,,,
Agrostis_idahoensis,,,,,
Agrostis_microphylla,,,,,
Agrostis_oregonensis,,,,,
Agrostis_pallens,,,,,
Agrostis_scabra,,,,,
Agrostis_variabilis,,,,,
Aliciella_humillima,,,,,
Aliciella_hutchinsifolia,,,,,
Aliciella_latifolia,,,AF207964.1,AY997961.2,
Aliciella_leptomeria,,,,,
Aliciella_lottiae,,,,,
Aliciella_micromeria,,,,,
Aliciella_monoensis,,,,,
Aliciella_ripleyi,,,,,
Aliciella_triodon,,,,EU628492.1,
Alisma_gramineum,,,,,
Alisma_triviale,,HQ901513.1,HQ901541.1,,
Allenrolfea_occidentalis,,,,,
Allionia_incarnata,,,,,
Allium_acuminatum,HF934478.1,,,KC138973.2,
Allium_amplectens,HF934482.1,,,KC138974.2,
Allium_bolanderi,,,,,
Allium_crispum,,,,KC138989.2,
Allium_dichlamydeum,,,,KC138992.2,
Allium_hickmanii,,,,KC139003.2,
Allium_hyalinum,,,,KC139006.2,
Allium_lacunosum,,,,KC139009.2,
Allium_peninsulare,HF934551.1,,,KC139023.2,
Allium_praecox,,,,KC139027.2,
Allium_serra,,,,KC139031.2,
Allium_unifolium,,,,KC139041.2,
Allium_haematochiton,,,AY191160.1,KC139002.2,
Allium_marvinii,,,,,
Allium_abramsii,,,,KC138972.2,
Allium_atrorubens,,,,KC138976.2,
Allium_bisceptrum,HF934483.1,,,KC138978.2,
