Abies_bracteata,66168
Abies_lasiocarpa,34340
Abies_amabilis,97174
Abies_concolor,97173
Abies_grandis,46611
Abies_magnifica,3320
Abies_procera,97175
Abronia_alpina,not found
Abronia_latifolia,not found
Abronia_maritima,not found
Abronia_nana,not found
Abronia_pogonantha,not found
Abronia_turbinata,not found
Abronia_umbellata,363197
Abronia_villosa,363198
Tripterocalyx_crux-maltae,not found
Tripterocalyx_micranthus,363215
Abutilon_palmeri,not found
Abutilon_parvulum,not found
Acaena_pinnatifida,281873
Acalypha_californica,256091
Acanthomintha_duttonii,1150279
Acanthomintha_ilicifolia,751780
Acanthomintha_lanceolata,392615
Acanthomintha_obovata,751781
Acer_circinatum,66207
Acer_glabrum,75744
Acer_macrophyllum,66211
Acer_negundo,4023
Achillea_millefolium,13329
Achlys_californica,not found
Achlys_triphylla,63345
Achyrachaena_mollis,149405
Achyronychia_cooperi,1137807
Acleisanthes_longiflora,117581
Acleisanthes_nevadensis,not found
Acmispon_americanus,100151
Acmispon_argophyllus,1159231
Acmispon_argyraeus,not found
Acmispon_brachycarpus,390700
Acmispon_cytisoides,not found
Acmispon_dendroideus,118915
Acmispon_denticulatus,390701
Acmispon_glaber,1043063
Acmispon_grandiflorus,not found
Acmispon_haydonii,not found
Acmispon_heermannii,1240362
Acmispon_junceus,not found
Acmispon_maritimus,not found
Acmispon_micranthus,1394523
Acmispon_nevadensis,not found
Acmispon_parviflorus,390702
Acmispon_procumbens,not found
Acmispon_prostratus,not found
Acmispon_rigidus,not found
Acmispon_rubriflorus,not found
Acmispon_strigosus,not found
Acmispon_wrangelianus,118929
Aconitum_columbianum,157970
Aconogonon_davisiae,not found
Aconogonon_newberryi,not found
Aconogonon_phytolaccifolium,not found
Acourtia_microcephala,40565
Actaea_rubra,64024
Adenocaulon_bicolor,496616
Adenophyllum_cooperi,169559
Adenophyllum_porophylloides,not found
Adenostoma_fasciculatum,140993
Adenostoma_sparsifolium,32216
Adiantum_aleuticum,412743
Adiantum_capillus-veneris,13818
Adiantum_jordanii,1073788
Adolphia_californica,73670
Aesculus_californica,307252
Agastache_parvifolia,not found
Agastache_urticifolia,268936
Agave_deserti,382119
Agave_shawii,1247851
Agave_utahensis,1511521
Ageratina_herbacea,not found
Ageratina_occidentalis,not found
Ageratina_shastensis,not found
Agoseris_apargioides,not found
Agoseris_aurantiaca,231835
Agoseris_glauca,1234494
Agoseris_grandiflora,161745
Agoseris_heterophylla,19017
Agoseris_hirsuta,not found
Agoseris_monticola,not found
Agoseris_parviflora,not found
Agoseris_retrorsa,114283
Agrimonia_gryposepala,932091
Agrimonia_striata,1503866
Agrostis_blasdalei,not found
Agrostis_densiflora,not found
Agrostis_elliottiana,not found
Agrostis_exarata,345915
Agrostis_hallii,not found
Agrostis_hendersonii,not found
Agrostis_hooveri,not found
Agrostis_humilis,not found
Agrostis_idahoensis,345917
Agrostis_microphylla,not found
Agrostis_oregonensis,not found
Agrostis_pallens,345919
Agrostis_scabra,345920
Agrostis_variabilis,not found
Aliciella_humillima,not found
Aliciella_hutchinsifolia,40774
Aliciella_latifolia,73236
Aliciella_leptomeria,40735
Aliciella_lottiae,not found
Aliciella_micromeria,not found
Aliciella_monoensis,not found
Aliciella_ripleyi,not found
Aliciella_triodon,133166
Alisma_gramineum,365729
Alisma_triviale,365734
Allenrolfea_occidentalis,224139
Allionia_incarnata,122398
Allium_acuminatum,1286652
Allium_amplectens,74889
Allium_bolanderi,74890
Allium_crispum,472406
Allium_dichlamydeum,74892
Allium_hickmanii,472411
Allium_hyalinum,74894
Allium_lacunosum,1286666
Allium_peninsulare,472422
Allium_praecox,472425
Allium_serra,472428
Allium_unifolium,74903
Allium_haematochiton,221223
Allium_marvinii,not found
Allium_abramsii,472395
Allium_atrorubens,472397
Allium_bisceptrum,1286654
Allium_campanulatum,472402
Allium_denticulatum,472407
Allium_diabolense,472408
Allium_fimbriatum,138321
Allium_howellii,472413
Allium_jepsonii,472415
Allium_membranaceum,472417
Allium_monticola,1286670
Allium_munzii,1286671
Allium_nevadense,1286672
Allium_parishii,1286674
Allium_parryi,1288818
Allium_sanbornii,74899
Allium_sharsmithiae,472429
Allium_shevockii,472430
Allium_tuolumnense,472434
Allium_anceps,472396
Allium_burlewii,472401
Allium_cratericola,472405
Allium_falcifolium,472409
Allium_hoffmanii,472412
Allium_lemmonii,472416
Allium_obtusum,472418
Allium_parvum,472421
Allium_platycaule,472424
Allium_punctum,472426
Allium_siskiyouense,472431
Allium_tolmiei,1286682
Allium_tribracteatum,472433
Allium_yosemitense,472435
Allium_validum,74904
Allophyllum_divaricatum,66233
Allophyllum_gilioides,40740
Allophyllum_glutinosum,133167
Allophyllum_integrifolium,133168
Allotropa_virgata,176242
Alnus_viridis,38784
Alnus_incana,3516
Alnus_rhombifolia,109068
Alnus_rubra,109069
Alopecurus_aequalis,114194
Alopecurus_carolinianus,not found
Alopecurus_geniculatus,114195
Alopecurus_saccatus,not found
Aloysia_wrightii,222876
Amaranthus_blitoides,124761
Amaranthus_californicus,1454537
Amaranthus_fimbriatus,1454540
Amaranthus_palmeri,107608
Amaranthus_powellii,158579
Amaranthus_torreyi,not found
Amaranthus_watsonii,not found
Amauriopsis_dissecta,176514
Hymenothrix_wrightii,176545
Amblyopappus_pusillus,149407
Ambrosia_acanthicarpa,not found
Ambrosia_ambrosioides,not found
Ambrosia_chamissonis,not found
Ambrosia_chenopodiifolia,not found
Ambrosia_confertiflora,not found
Ambrosia_dumosa,not found
Ambrosia_eriocentra,not found
Ambrosia_ilicifolia,not found
Ambrosia_monogyra,not found
Ambrosia_psilostachya,29715
Ambrosia_pumila,not found
Ambrosia_salsola,not found
Amelanchier_alnifolia,32219
Amelanchier_utahensis,52539
Ammannia_coccinea,330155
Ammannia_robusta,1441980
Ammoselinum_giganteum,not found
Amorpha_californica,252449
Amorpha_fruticosa,48131
Amphiscirpus_nevadensis,140878
Amsonia_tomentosa,not found
Anagallis_minima,306292
Anaphalis_margaritacea,49045
Ancistrocarphus_filagineus,not found
Ancistrocarphus_keilii,not found
Andropogon_glomeratus,330547
Androsace_filiformis,229438
Androsace_elongata,229437
Androsace_occidentalis,522403
Androsace_septentrionalis,184985
Androstephium_breviflorum,205706
Anelsonia_eurycarpa,359814
Anemone_deltoidea,not found
Anemone_drummondii,174163
Anemone_grayi,not found
Anemone_lyallii,not found
Anemone_multifida,168001
Anemone_occidentalis,174168
Anemone_oregana,not found
Anemone_tuberosa,666734
Anemopsis_californica,108407
Angelica_arguta,54824
Angelica_breweri,54700
Angelica_californica,not found
Angelica_callii,not found
Angelica_genuflexa,357848
Angelica_hendersonii,not found
Angelica_kingii,not found
Angelica_lineariloba,not found
Angelica_lucida,46362
Angelica_tomentosa,not found
Sphenosciadium_capitellatum,63043
Antennaria_argentea,49048
Antennaria_corymbosa,49051
Antennaria_dimorpha,49053
Antennaria_flagellaris,49055
Antennaria_geyeri,49057
Antennaria_howellii,669590
Antennaria_luzuloides,49059
Antennaria_marginata,49060
Antennaria_media,1301374
Antennaria_microphylla,49061
Antennaria_pulchella,49066
Antennaria_racemosa,49068
Antennaria_rosea,669622
Antennaria_suffrutescens,49072
Antennaria_umbrinella,49073
Anthoxanthum_nitens,286619
Anthoxanthum_occidentale,376123
Antirrhinum_cornutum,208838
Antirrhinum_coulterianum,69906
Antirrhinum_cyathiferum,90347
Antirrhinum_filipes,90348
Antirrhinum_kelloggii,69907
Antirrhinum_kingii,208840
Antirrhinum_leptaleum,208841
Antirrhinum_multiflorum,192253
Antirrhinum_nuttallianum,90349
Antirrhinum_ovatum,208844
Antirrhinum_subcordatum,208845
Antirrhinum_vexillocalyculatum,208846
Antirrhinum_virga,208850
Mohavea_breviflora,90361
Mohavea_confertiflora,90362
Anulocaulis_annulatus,427779
Aphanes_occidentalis,not found
Aphanisma_blitoides,240026
Apiastrum_angustifolium,not found
Apocynum_androsaemifolium,61254
Apocynum_cannabinum,13339
Aquilegia_pubescens,338617
Aquilegia_eximia,1291435
Aquilegia_formosa,223430
Aquilegia_shockleyi,not found
Arabis_blepharophylla,81973
Arabis_eschscholtziana,586521
Arabis_mcdonaldiana,not found
