taxon,18S,atpB,ndhF,
Abies_bracteata,AB026932.1,,,
Abies_lasiocarpa,X79407.1,AY664825.1,,
Abies_amabilis,,,,
Abies_concolor,,,,
Abies_grandis,,,,
Abies_magnifica,,,,
Abies_procera,,,,
Abronia_alpina,,,,
Abronia_latifolia,,,,
Abronia_maritima,,,,
Abronia_nana,,,,
Abronia_pogonantha,,,,
Abronia_turbinata,,,,
Abronia_umbellata,,,,
Abronia_villosa,,,,
Tripterocalyx_crux-maltae,,,,
Tripterocalyx_micranthus,,,,
Abutilon_palmeri,,,,
Abutilon_parvulum,,,,
Acaena_pinnatifida,,,,
Acalypha_californica,AY674572.1,AY788199.1,AY425027.1,
Acanthomintha_duttonii,,,,
Acanthomintha_ilicifolia,,,,
Acanthomintha_lanceolata,,,,
Acanthomintha_obovata,,,,
Acer_circinatum,,,HM352669.1,
Acer_glabrum,,,,
Acer_macrophyllum,,,,
Acer_negundo,,,AF130227.1,
Achillea_millefolium,,,EU385124.1,
Achlys_californica,,,,
Achlys_triphylla,,,AY145158.1,
Achyrachaena_mollis,,,,
Achyronychia_cooperi,,,,
Acleisanthes_longiflora,,,,
Acleisanthes_nevadensis,,,,
Acmispon_americanus,,,,
Acmispon_argophyllus,,,,
Acmispon_argyraeus,,,,
Acmispon_brachycarpus,,,,
Acmispon_cytisoides,,,,
Acmispon_dendroideus,,,,
Acmispon_denticulatus,,,,
Acmispon_glaber,,,,
Acmispon_grandiflorus,,,,
Acmispon_haydonii,,,,
Acmispon_heermannii,,,,
Acmispon_junceus,,,,
Acmispon_maritimus,,,,
Acmispon_micranthus,,,,
Acmispon_nevadensis,,,,
Acmispon_parviflorus,,,,
Acmispon_procumbens,,,,
Acmispon_prostratus,,,,
Acmispon_rigidus,,,,
Acmispon_rubriflorus,,,,
Acmispon_strigosus,,,,
Acmispon_wrangelianus,,,,
Aconitum_columbianum,,,,
Aconogonon_davisiae,,,,
Aconogonon_newberryi,,,,
Aconogonon_phytolaccifolium,,,,
Acourtia_microcephala,,,L39408.1,
Actaea_rubra,,,,
Adenocaulon_bicolor,,,EU385129.1,
Adenophyllum_cooperi,,,AF405274.1,
Adenophyllum_porophylloides,,,,
Adenostoma_fasciculatum,DQ886363.1,,,
Adenostoma_sparsifolium,,,,
Adiantum_aleuticum,,JN052875.1,,
Adiantum_capillus-veneris,,JF935427.1,,
Adiantum_jordanii,,JF935430.1,,
Adolphia_californica,,,,
Aesculus_californica,,,,
Agastache_parvifolia,,,,
Agastache_urticifolia,,,,
Agave_deserti,,,,
Agave_shawii,,,,
Agave_utahensis,,,,
Ageratina_herbacea,,,,
Ageratina_occidentalis,,,,
Ageratina_shastensis,,,,
Agoseris_apargioides,,,,
Agoseris_aurantiaca,,,,
Agoseris_glauca,,,,
Agoseris_grandiflora,,,,
Agoseris_heterophylla,,,,
Agoseris_hirsuta,,,,
Agoseris_monticola,,,,
Agoseris_parviflora,,,,
Agoseris_retrorsa,,,,
Agrimonia_gryposepala,,,,
Agrimonia_striata,,,,
Agrostis_blasdalei,,,,
Agrostis_densiflora,,,,
Agrostis_elliottiana,,,,
Agrostis_exarata,,,,
Agrostis_hallii,,,,
Agrostis_hendersonii,,,,
Agrostis_hooveri,,,,
Agrostis_humilis,,,,
Agrostis_idahoensis,,,,
Agrostis_microphylla,,,,
Agrostis_oregonensis,,,,
Agrostis_pallens,,,,
Agrostis_scabra,,,,
Agrostis_variabilis,,,,
Aliciella_humillima,,,,
Aliciella_hutchinsifolia,,,,
Aliciella_latifolia,,,AF207964.1,
Aliciella_leptomeria,,,,
Aliciella_lottiae,,,,
Aliciella_micromeria,,,,
Aliciella_monoensis,,,,
Aliciella_ripleyi,,,,
Aliciella_triodon,,,,
Alisma_gramineum,,,,
Alisma_triviale,,HQ901513.1,HQ901541.1,
Allenrolfea_occidentalis,,,,
Allionia_incarnata,,,,
Allium_acuminatum,HF934478.1,,,
Allium_amplectens,HF934482.1,,,
Allium_bolanderi,,,,
Allium_crispum,,,,
Allium_dichlamydeum,,,,
Allium_hickmanii,,,,
Allium_hyalinum,,,,
Allium_lacunosum,,,,
Allium_peninsulare,HF934551.1,,,
Allium_praecox,,,,
Allium_serra,,,,
