taxon,trnL_intron,ITS1,ITS2
Neostapfia colusana,AY342221,AY354360,AY354322
Neostapfia colusana,AY342216,AY354364,AY354326
Neostapfia colusana,AY342220,,
Neostapfia colusana,AY342226,AY354379,AY354341
Orcuttia californica,,AY354376,AY354338
Orcuttia californica,AY342227,,
Orcuttia inaequalis,AY342234,AY354365,AY354327
Orcuttia inaequalis,AY342224,AY354366,AY354328
Orcuttia inaequalis,,AY354361,AY354323
Orcuttia pilosa,AY342243,AY354359,AY354321
Orcuttia pilosa,AY342232,AY354353,AY354315
Orcuttia pilosa,,AY354367,AY354329
Orcuttia pilosa,AY342237,AY354351,AY354313
Orcuttia pilosa,,AY354375,AY354337
Orcuttia pilosa,AY342217,AY354357,AY354319
Orcuttia pilosa,AY342229,,
Orcuttia pilosa,,AY354384,AY354346
Orcuttia tenuis,,AY354349,AY354311
Orcuttia tenuis,AY342231,AY354373,AY354335
Orcuttia tenuis,AY342215,,
Orcuttia tenuis,,AY354374,AY354336
Orcuttia tenuis,,AY354372,AY354334
Orcuttia viscida,AY342233,AY354355,AY354317
Orcuttia viscida,AY342223,AY354350,AY354312
Orcuttia viscida,AY342219,,
Orcuttia viscida,,AY354370,AY354332
Tuctoria mucronata,AY342218,AY354363,AY354325
Tuctoria mucronata,,AY354381,AY354343
Tuctoria fragilis,,AY354354,AY354316
Tuctoria fragilis,AY342239,,
Tuctoria greenei,,AY354383,AY354345
Tuctoria greenei,,AY354352,AY354314
Tuctoria greenei,AY342236,AY354368,AY354330
Tuctoria greenei,AY342238,,
Tuctoria greenei,AY342222,AY354347,AY354309
Tuctoria greenei,AY342230,AY354378,AY354340
Tuctoria greenei,,AY354356,AY354318
Tuctoria greenei,AY342235,,
Tuctoria greenei,AY342244,AY354377,AY354339
Tuctoria greenei,AY342241,AY354380,AY354342
Tuctoria greenei,AY342240,AY354358,AY354320
