taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba	county	unknown
Trichocoronis	25	0.44	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pectocarya+Harpagonella	4054	0.87	1.0	0.0	0.0	1.0	1.0	0.93	0.77	1.0	0.63	0.69	0.8	0.0	0.99	0.64	0.79	0.67	0.73	0.94	0.82	0.69	0.0	0.67	0.82	1.0	0.0	1.0	0.5	0.45	0.8	1.0	0.33	0.0	0.0	0.97	0.33	0.57	0.93	0.93	1.0	1.0	0.49	0.63	0.87	0.29	0.0	0.8	0.83	0.0	0.31	1.0	1.0	0.36	1.0	0.84	0.38	0.5	0.89	0.25	0.79	0.0	0.0	0.0	0.0
Astragalus_agrestis_clade	13	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cystopteris	1399	0.6	0.0	0.18	1.0	0.82	1.0	1.0	0.71	0.33	0.57	0.67	0.33	0.48	0.0	0.64	0.49	1.0	0.86	0.88	0.61	0.47	0.75	0.66	0.15	0.0	0.62	0.57	0.52	0.33	0.39	0.0	0.92	0.72	0.0	1.0	0.0	0.0	0.81	0.82	0.0	0.0	0.4	0.6	0.92	0.46	0.0	0.67	0.61	0.52	0.22	0.0	1.0	0.0	0.0	0.43	0.61	0.47	0.49	0.0	1.0	0.0	0.0	0.0	0.0
Malperia	43	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phoradendron_1	753	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.9	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.99	0.83	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	0.0	0.0	0.0	0.64
Allium_validum_clade	408	0.59	0.0	0.75	0.5	1.0	0.0	0.0	0.0	0.82	0.66	0.63	0.0	0.42	0.0	0.8	0.75	0.0	0.5	0.0	0.0	0.63	0.0	0.36	0.0	0.0	0.5	0.66	0.0	0.0	0.89	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.38	0.47	0.64	0.5	0.0	0.0	0.0	0.0	0.0	0.0
Aloysia	74	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pycnanthemum	289	0.66	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.25	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.67	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.68	0.0	1.0	0.0	0.0	0.85	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.4	0.4	0.0	0.0	0.0	0.0	0.86	0.67	0.0	0.75	0.0	0.0	0.0	1.0	0.0	0.0
Rudbeckia	300	0.43	0.0	0.5	0.6	0.8	0.25	0.0	0.0	0.41	0.8	0.33	0.2	0.47	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.5	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.31	0.0	0.0	0.0	0.0	1.0	0.41	0.36	0.52	0.0	0.0	0.0	0.0	0.0	0.0
