taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba
Trichocoronis	49	0.71	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ephedra	3851	0.9	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.94	0.88	0.99	0.0	0.0	0.89	0.98	0.0	0.0	0.0	0.0	0.63	0.67	0.91	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.97	0.0	1.0	0.99	0.87	0.0	0.0	0.4	0.0	0.82	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.28	0.56	0.0	0.0
Kobresia	29	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Datura	1105	0.75	1.0	0.0	0.0	0.88	0.0	1.0	0.75	0.0	0.0	0.54	1.0	0.0	0.92	0.29	0.63	0.0	0.0	0.0	0.5	1.0	1.0	1.0	0.0	0.7	0.0	0.0	0.83	0.5	0.0	0.82	0.0	0.0	0.0	0.96	0.5	1.0	0.86	0.9	0.0	0.88	0.45	0.0	0.48	0.0	0.0	0.0	1.0	0.0	0.0	0.5	0.64	0.75	1.0	0.0	0.0	0.14	0.4	0.25	0.57	0.42	0.0
Cystopteris	1399	0.6	0.0	0.18	1.0	0.82	1.0	1.0	0.71	0.33	0.57	0.67	0.33	0.48	0.0	0.64	0.49	1.0	0.86	0.88	0.61	0.47	0.75	0.66	0.15	0.0	0.62	0.57	0.52	0.33	0.39	0.0	0.92	0.72	0.0	1.0	0.0	0.0	0.81	0.82	0.0	0.0	0.4	0.6	0.92	0.46	0.0	0.67	0.61	0.52	0.22	0.0	1.0	0.0	0.0	0.43	0.61	0.47	0.49	0.0	1.0	0.0	0.0
Malperia	43	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tiarella	270	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.46	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0
Aloysia	74	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pycnanthemum	291	0.66	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.25	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.67	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.68	0.0	1.0	0.0	0.0	0.85	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.4	0.4	0.0	0.0	0.0	0.0	0.86	0.67	0.0	0.75	0.0	0.0	0.0	1.0
Crataegus	180	0.87	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.83	0.0	0.93	0.0	0.0	0.0	0.83	1.0	0.0	0.0	0.0	1.0	0.0
