taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Aa,AM419767.1,AM900802.1,,,FJ571313.1,AJ409368.1,,FJ571161.1,
Aaronsohnia,AY603261.1,KX401350.1,,AF153643.1,,JF345923.1,,KX401415.1,
Abacopteris,,,,,,,,,
Abarema,JX870654.1,KF981314.1,,,JQ626162.1,KF933278.1,,,
Abatia,,EF135498.1,AY674471.1,FJ670123.1,AF206726.1,AY756980.1,AF206836.1,AF209519.1,
Abdominea,,,,,,,,,
Abelia,GU168622.1,AF446909.1,DQ110296.1,AF447029.1,HQ680738.1,HQ693981.1,,,
Abeliophyllum,AF534804.1,EU281167.1,,DQ673262.1,DQ673292.1,EU281150.1,,,
Abelmoschus,KP222466.1,EF562457.1,,AF384638.1,JQ230992.1,KC488172.1,,,
Abies,KT164592.1,JQ512392.1,FJ572132.1,,KC597576.1,KR606758.1,DQ371809.1,AJ621928.1,
Abietinella,,,,,,,,,
Abobra,JX505456.1,DQ536629.1,,,AF008961.1,DQ536782.1,U41501.1,,
Abolboda,GU078713.1,KP083058.1,,,HQ182413.1,,AF168824.1,HQ180442.1,
Abrahamia,AY594367.1,,,,,AY594434.1,,,
Abrodictyum,,,,,AY775448.1,,,EF463449.1,
Abroma,,,,,,,,,
Abronia,DQ317098.1,,,,AF214703.1,,,,
Abrophyllum,,GQ983653.1,,AJ238333.1,AF299090.1,GQ984068.1,,AJ318962.1,
Abrotanella,JX564693.1,JX564832.1,,AJ012679.1,KT345080.1,EF538089.1,,KT344986.1,
Abrus,JN407458.1,AF142705.1,,,KC846897.1,EF543423.1,,,
Absinthium,,,,,,,,,
Absolmsia,,,,,,,,,
Abuta,,KM364768.1,,EF624259.1,DQ099443.1,JN051738.1,,FJ026398.1,
Abutilon,KT966960.1,KT966998.1,AY739014.1,AF111716.1,KR736932.1,HQ696727.1,,,
Acacia,KC201165.1,KP823585.1,,HQ170375.1,KJ440054.1,KP823576.1,,EU811863.1,
Acaciella,EF638169.1,EU812044.1,,EU811919.1,EU811873.1,DQ371857.1,,,
Acaena,EU352214.1,EU914270.1,,,KM360608.1,AY634717.1,,,
Acalypha,DQ006003.1,LK021359.1,EF135289.1,AY425027.1,KJ773246.1,AY794775.1,AB233542.1,AB233646.1,
Acampe,EF079432.1,AB217702.1,,,JQ933201.1,DQ091439.1,,,
Acamptopappus,AY170927.1,,,,,,,,
Acanthella,JQ730036.1,,,,,,,,
Acanthephippium,KM025144.1,KF673783.1,,,AF074100.1,KF650566.1,,,
Acanthocalycium,,,,,,,,,
Acanthocarpus,,,,,,,,,
Acanthocephalus,DQ768187.1,,,,,,AY830152.1,,
Acanthocereus,,AY015295.1,,,,DQ099918.1,,,
Acanthochlamys,JN016937.1,AY952413.1,,AY224993.1,HQ845619.1,AF293102.1,AY952411.1,KP083024.1,
Acanthocladiella,,,,,,,,,
Acanthocladium,JQ956555.1,JX564830.1,,,,JX564645.1,,,
Acanthocladus,,,,,AM234190.1,AF366972.1,,,
Acanthocoleus,DQ987291.1,,,,DQ983647.1,DQ987458.1,,,
Acanthodesmos,,,,,,,,,
Acanthodium,,,,,,,,,
Acanthogilia,EU339722.1,L48562.1,AY725888.1,AY725875.1,AY725863.1,EU348374.1,L49271.1,AY725926.1,
Acantholejeunea,,,,,,,,,
Acantholimon,AB979568.1,FN597642.1,,,Z97639.1,AJ391314.1,,,
Acantholippia,DQ070741.1,HM853864.1,,JN686632.1,HM853897.1,HM216586.1,,,
Acanthomintha,KC591663.1,GU381737.1,,,,DQ667522.1,,,
Acanthonema,,,,,,,,,
Acanthopale,EF214411.1,,,,,,,,
Acanthophoenix,,AM114691.1,,,AJ829844.1,AM113679.1,,,
Acanthophyllum,KF924680.1,JN589209.1,,,,JN589663.1,,,
Acanthoprasium,,HQ911486.1,,,,FJ854150.1,,,
Acanthopsis,DQ028411.1,,,,KF724239.1,DQ054851.1,,,
Acanthorrhinum,AY731261.1,EU718051.1,,JN848476.1,,,,,
Acanthorrhynchium,KC555520.1,,,,AY346095.1,,,,
Acanthoscyphus,JQ352455.1,,,,,JQ352613.1,,,
Acanthosicyos,KP036525.1,DQ536630.1,,,DQ535778.1,DQ536757.1,,,
Acanthospermum,KP901143.1,AY215757.1,,AF384688.3,AY215077.1,KP901203.1,,,
Acanthostachys,,AY950021.1,,HQ895726.1,KC123345.1,KU762976.1,,,
Acanthostyles,KP454294.1,,,KP454883.1,,,,,
Acanthosyris,,DQ329182.1,,,,,DQ329163.1,,
Acanthothamnus,JF409973.1,JF410088.1,,,,JF410065.1,,,
Acanthura,EU528875.1,,,,,EU528913.1,,,
Acanthus,KJ784549.1,HQ384511.1,DQ110297.1,AJ429115.1,L12592.1,DQ054854.1,AY289642.1,HQ384715.1,
Acareosperma,,,,,,,,,
Acaulimalva,AY591810.1,FJ204708.1,,FJ204727.1,,,,,
Acaulon,JX679947.1,,,,AF231078.1,,,,
Acaulonopsis,,,,,,,,,
Acca,AM234067.1,AY525128.1,,AY498783.1,JX571773.1,,,,
Accara,,,,,,,,,
Acentra,,,,,,,,,
Acer,KT160166.1,KU550019.1,AF520112.1,,KT160115.1,AJ413166.1,,,
Aceratium,DQ448684.1,,,,L28947.1,DQ444681.1,,,
Acharia,,,,,,,KR068930.1,,
Achatocarpus,,AY514845.1,,AY858609.1,AY270142.1,,,,
Achetaria,,,,EF527469.1,,,,,
Achillea,KT954181.1,EU385315.1,,EU385124.1,KM360610.1,AY603319.1,KT179658.1,KT344987.1,
Achimenantha,,,,,,,,,
Achimenes,KT945236.1,JX195949.1,,AY623155.1,AJ439982.1,KT945237.1,,,
Achlyphila,,,,,,,,,
Achlys,,AB069826.1,,AY145158.1,L75868.2,KM980538.1,,KM364709.1,
Achnatherum,KC129481.1,JX438064.1,,KM538773.1,JQ933203.1,GU254951.1,,,
Achnophora,JX564694.1,,,,,,,,
Achnopogon,,,,,,,,,
Achrophyllum,HQ613476.1,,,,,HQ613673.1,,,
Achuaria,,,,,,,,,
Achudemia,,,,,,,,,
Achyrachaena,AF229318.1,,,,,,,,
Achyranthes,KC898623.1,AY514815.1,,,HM849741.1,EF688734.1,,,
Achyrocalyx,DQ028432.1,,,,,DQ054875.1,,,
Achyrocline,KT865438.1,,,HG797824.1,,KM091420.1,,,
Achyronia,,,,,,,,,
Achyronychia,,,,,,JN589680.1,,,
Achyropappus,AF374894.1,,,,,,,,
Achyrophorus,,,,,,,,,
Achyrophyllum,,,,,,,,,
Achyropsis,,AY998117.1,,,,EF688731.1,,,
Achyrospermum,,HQ911420.1,,,,FJ854145.1,,,
Aciachne,FJ461260.1,GU254673.1,,GU254806.1,,GU192001.1,,,
Acianthera,KP012467.1,AF302648.1,,,AF518038.1,AF276026.1,,,
Acianthus,JQ045489.1,AJ309991.1,,,AF074101.1,AJ409373.1,,,
Acicarpha,EU841174.1,EU841362.1,,EU385125.1,EU384939.1,EU385031.1,,KM191983.1,
Acidanthera,,,,,,,,,
Acidocroton,EF421766.1,,,EF416920.1,EF405827.1,EF408087.1,,,
Acidodontium,,,,,AF546815.1,AY150341.1,,,
Acidonia,EU676080.1,,,,EU676107.1,,,,
Acidosasa,AY004760.1,JN247078.1,,FJ643706.1,KF796678.1,,,,
Acidoton,,LK021363.1,,,AY794924.1,AY794747.1,AB268069.1,AB267965.1,
Acilepidopsis,,,,,,,,,
Acilepis,HQ158381.1,,,HQ158433.1,,HQ158426.1,,,
Acineta,,,,,,,,,
Acinodendron,,,,,,,,,
Acinos,,,,,,,,,
Acioa,GQ424453.1,,,,AF089759.1,,,,
Aciotis,JQ730038.1,,,AF215561.1,JQ592644.1,,,,
Aciphylla,KF160671.1,U58541.1,,,AY188411.1,,,,
Acis,FN663865.1,AY101318.1,,AY434489.1,JX903158.1,FN663907.1,,JX903765.1,
Acisanthera,JQ730045.1,,,,,,,,
Acleisanthes,DQ317089.1,FN868305.1,,,FN868318.1,,,,
Acmadenia,,KP109974.1,,,AM235114.1,,,,
Acmanthera,,AF344524.1,,AF351013.1,AF344454.1,,,,
Acmella,KC981071.1,AY215758.1,,AF384689.2,AY215078.1,AY216137.1,,,
Acmispon,AF450174.1,,,,,,,,
Acmopyle,KM459932.1,EU161482.1,,,HM593587.1,AY083098.1,AF342758.1,,
Acnida,,,,,,,,,
Acnistus,DQ314183.1,KP756806.1,,EU580855.1,KJ082106.1,EU580954.1,,,
Acoelorrhaphe,,AM114579.1,,HQ720595.1,AJ829845.1,AM113627.1,,,
Acokanthera,,HQ384553.1,,HQ384847.1,X91758.1,HQ412962.1,,HQ384763.1,
Acolea,,,,,,,,,
Acome,,,,,,,,,
Acomis,JQ956557.1,JQ956922.1,,,,AF141850.1,,,
Aconitum,LC152813.1,KU213014.1,,KU196912.1,KM360611.1,LC036479.1,,EU053868.1,
Aconogonum,JN235109.1,EU840457.1,,EU840373.1,HQ435357.1,HQ843169.1,,,
Acorus,AB762291.1,HE651036.1,DQ007423.1,EU016703.1,KM360612.1,EU814691.1,KM103387.1,DQ069343.1,
Acosmium,JQ955621.1,JX124417.1,,,,,,,
Acosta,,,,,,,,,
Acostia,,,,,,,,,
Acourtia,FJ979683.1,EU385317.1,,EU385126.1,EU384940.1,EU385032.1,,,
Acrachne,KP873208.1,JN681616.1,,JN681716.1,JN681648.1,AY574637.1,,,
Acradenia,,KM894715.1,,,JN987069.1,,,JN986992.1,
Acranthera,EU145345.1,,,EU145399.1,AM117199.1,,,,
Acridocarpus,AY137318.1,AF344525.1,EF135290.1,AF351016.1,KM197462.1,AY137285.1,AY674573.1,AY788200.1,
Acriopsis,AF470492.1,AF470462.1,,,AY368350.1,,,,
Acrisione,EF538144.1,GU817416.1,,GU817808.1,,GU817965.1,,,
Acritochaete,,HE586069.1,,HE573491.1,HE573336.1,,,,
Acritodon,,,,,,,,,
Acritopappus,KP901201.1,,,KP454884.1,,KP901238.1,,,
Acrobolbus,,,,,KF852285.1,KJ802071.1,,KF852005.1,
Acrobotrys,,,,,,,,,
Acrocarpus,,EU361843.1,,,AF308699.1,AY899683.1,,,
Acroceras,GQ870162.1,HE574020.1,,AM849121.1,EF125125.1,GQ869936.1,,,
Acrochaene,,,,,,,,,
Acrochila,,,,,,,,,
Acrocladiopsis,,,,,,,,,
Acrocladium,AM260471.1,,,,GU568676.1,AF509543.1,,,
Acrocomia,HQ265478.1,AM114640.1,,AY044555.1,AY044625.1,AM113649.1,,AY044466.1,
Acrocryphaea,,,,,,,,,
Acrodon,AJ577756.1,KF132642.1,,,KF132536.1,KF132781.1,,,
Acroglochin,AY858589.1,AY514826.1,,AY858622.1,AY270049.1,AY858599.1,,,
Acrolejeunea,KT190894.1,,,,KP182112.1,KT190777.1,,KF852008.1,
Acrolophia,KF318965.1,KF358074.1,,,KF358055.1,,,,
Acrolophozia,,,,,,,,,
Acromastigum,,,,,KF852394.1,EF101083.1,,JF316001.1,
Acronema,EU236155.1,,,,JQ933205.1,,,,
Acronychia,KP093203.1,AB924925.1,,,KJ440023.1,LN849192.1,,JN986996.1,
Acropelta,,,,,,,,,
Acrophorus,,,,,JX535857.1,EF540696.1,,EF450509.1,
Acrophyllum,,,,,AF291926.1,AF299221.1,,,
Acropogon,,,,AY795596.1,,,,,
Acroporium,HE660023.1,,,,AY320244.1,EF631951.1,,GQ497641.1,
Acropteris,,,,,,,,,
Acrorchis,AY174761.1,AY396086.1,,,,AY422389.1,,,
Acrorumohra,,,,,DQ508758.1,DQ514478.1,,EF450505.1,
Acrosanthes,,,,,AM234785.1,,,,
Acroschisma,,,,,,,,,
Acroscyphella,,,,,KF852339.1,,,KF852039.1,
Acroscyphus,AY450562.1,,,,,,,,
Acrosorus,,,,,KM218751.1,KM106046.1,,KM218817.1,
Acrostemon,,,,,,,,,
Acrostichum,KJ161166.1,JF303921.1,,,EF452129.1,FJ807658.1,,EF452008.1,
Acrostolia,,,,,,,,,
Acrosynanthus,AY730288.1,,,GQ852162.1,AM117201.1,AF152751.1,,,
Acrotome,,HQ911533.1,,,,EU138301.1,,,
Acrotrema,,,,,FJ860340.1,,,,
Acrotriche,KC197087.1,AY005094.1,,,U80432.1,,,,
Acrymia,,,,,,,,,
Acsmithia,,,,,,,,,
Actaea,,,,,,,KF682859.1,,
Actephila,,AY552415.1,,,AY663560.1,,,AY830190.1,
Actinanthella,,EU544408.1,,,,,,,
Actinanthus,,,,,,,,,
Actinea,,,,,,,,,
Actinella,KJ458580.1,,,,,,,,
Actinidia,KR819509.1,KR819672.1,AY163745.1,AJ236238.1,KR819572.1,KR819719.1,KU254646.1,,
Actiniopteris,,KF289571.1,,,AF336100.1,,,EF452009.1,
Actinobole,JX564695.1,AF151433.1,,,,JX564646.1,,,
Actinocarya,KF849172.1,,,,,KC542502.1,,,
Actinocephalus,KT175788.1,,,DQ188997.1,,EU924434.1,,,
Actinocheita,AY641509.1,,,AY643120.1,AY462007.1,AY640460.1,,,
Actinocladum,,,,JQ408524.1,,,,,
Actinodaphne,KP092849.1,HM019309.1,,AB442023.1,HM019449.1,AF268695.1,,,
Actinodium,,AF489394.2,,AY498761.1,AF489338.1,,,,
Actinodontium,HQ443708.1,,,,,,,,
Actinokentia,,AM114661.1,,HG969731.1,AJ829846.1,HG969927.1,,,
Actinolema,EU168962.1,,,,,,,,
Actinorhytis,KJ634506.1,AM114659.1,,HG969747.1,AJ829847.1,HG969945.1,,,
Actinoschoenus,,,,FM160509.1,EF178537.1,,,,
Actinoscirpus,AB261672.1,,,AB261640.1,AB369955.1,AB679910.1,,,
Actinoseris,,,,,,,,,
Actinospermum,,,,,,,,,
Actinostachys,,,,,AJ303401.1,,,,
Actinostemma,,DQ536631.1,,,DQ535779.1,DQ536783.1,,,
