Aa,152839
Aaronsohnia,99021
Abacopteris,not found
Abarema,468123
Abatia,112814
Abdominea,331154
Abelia,86866
Abeliophyllum,126357
Abelmoschus,183218
Abies,3319
Abietinella,655744
Abobra,44761
Abolboda,101604
Abrahamia,289243
Abrodictyum,381217
Abroma,1745610
Abronia,76710
Abrophyllum,49578
Abrotanella,84584
Abrus,3815
Absinthium,not found
Absolmsia,365741
Abuta,341012
Abutilon,3630
Acacia,3808
Acaciella,468125
Acaena,137429
Acalypha,20025
Acampe,331156
Acamptopappus,217565
Acanthella,1160307
Acanthephippium,78686
Acanthocalycium,153833
Acanthocarpus,1844874
Acanthocephalus,185725
Acanthocereus,153835
Acanthochlamys,145230
Acanthocladiella,not found
Acanthocladium,152193
Acanthocladus,180809
Acanthocoleus,414151
Acanthodesmos,not found
Acanthodium,not found
Acanthogilia,110323
Acantholejeunea,not found
Acantholimon,63085
Acantholippia,336882
Acanthomintha,392614
Acanthonema,656642
Acanthopale,258578
Acanthophoenix,154464
Acanthophyllum,325475
Acanthoprasium,1006599
Acanthopsis,328096
Acanthorrhinum,299795
Acanthorrhynchium,142991
Acanthoscyphus,1214376
Acanthosicyos,252527
Acanthospermum,182998
Acanthostachys,106424
Acanthostyles,1744982
Acanthosyris,136850
Acanthothamnus,123396
Acanthura,526752
Acanthus,13326
Acareosperma,not found
Acaulimalva,288242
Acaulon,129284
Acaulonopsis,not found
Acca,260129
Accara,not found
Acentra,not found
Acer,4022
Aceratium,26001
Acharia,691691
Achatocarpus,169195
Achetaria,255813
Achillea,13328
Achimenantha,not found
Achimenes,48794
Achlyphila,not found
Achlys,63344
Achnatherum,37868
Achnophora,199231
Achnopogon,not found
Achrophyllum,129932
Achuaria,not found
Achudemia,not found
Achyrachaena,149404
Achyranthes,169205
Achyrocalyx,328101
Achyrocline,746490
Achyronia,not found
Achyronychia,1137806
Achyropappus,176511
Achyrophorus,not found
Achyrophyllum,not found
Achyropsis,327030
Achyrospermum,694328
Aciachne,399624
Acianthera,493944
Acianthus,78688
Acicarpha,49580
Acidanthera,not found
Acidocroton,323020
Acidodontium,187823
Acidonia,524967
Acidosasa,145979
Acidoton,398582
Acilepidopsis,not found
Acilepis,1075342
Acineta,239360
